RowId,Id,Title,User_id,review_helpfulness,review_score,review_time,review_summary,review_text,description,authors,publisher,publishedDate,categories,ratingsCount
1,1882931173,Its Only Art If Its Well Hung!,AVCGYZL8FQQTD,07-Jul,4,940636800,Nice collection of Julie Strain images,"This is only for Julie Strain fans. It's a collection of her photos -- about 80 pages worth with a nice section of paintings by Olivia.If you're looking for heavy literary content, this isn't the place to find it -- there's only about 2 pages with text and everything else is photos.Bottom line: if you only want one book, the Six Foot One ... is probably a better choice, however, if you like Julie like I like Julie, you won't go wrong on this one either.",,['Julie Strain'],,1996,['Comics & Graphic Novels'],2
2,0826414346,Dr. Seuss: American Icon,A30TK6U7DNS82R,10-Oct,5,1095724800,Really Enjoyed It,"I don't care much for Dr. Seuss but after reading Philip Nel's book I changed my mind--that's a good testimonial to the power of Rel's writing and thinking. Rel plays Dr. Seuss the ultimate compliment of treating him as a serious poet as well as one of the 20th century's most interesting visual artists, and after reading his book I decided that a trip to the Mandeville Collections of the library at University of California in San Diego was in order, so I could visit some of the incredible Seuss/Geisel holdings they have there.There's almost too much to take in, for, like William Butler Yeats, Seuss led a career that constantly shifted and metamoprhized itself to meet new historical and political cirsumstances, so he seems to have been both a leftist and a conservative at different junctures of his career, both in politics and in art. As Nel shows us, he was once a cartoonist for the fabled PM magazine and, like Andy Warhol, he served his time slaving in the ad business too. All was in the service of amusing and broadening the minds of US children. Nel doesn't hesitate to administer a sound spanking to the Seuss industry that, since his death, has seen fit to license all kinds of awful products including the recent CAT IN THE HAT film with Mike Myers. Oh, what a cat-astrophe!The book is great and I can especially recommend the work of the picture editor who has given us a bounty of good illustrations.","Philip Nel takes a fascinating look into the key aspects of Seuss's career - his poetry, politics, art, marketing, and place in the popular imagination."" ""Nel argues convincingly that Dr. Seuss is one of the most influential poets in America. His nonsense verse, like that of Lewis Carroll and Edward Lear, has changed language itself, giving us new words like ""nerd."" And Seuss's famously loopy artistic style - what Nel terms an ""energetic cartoon surrealism"" - has been equally important, inspiring artists like filmmaker Tim Burton and illustrator Lane Smith. --from back cover",['Philip Nel'],A&C Black,01-01-2005,['Biography & Autobiography'],2
3,0829814000,Wonderful Worship in Smaller Churches,AZ0IOBU20TBOP,08-Oct,5,991440000,Outstanding Resource for Small Church Pastors,"I just finished the book, &quot;Wonderful Worship in Smaller Churches,&quot; by David Ray, an outstanding resource for small church pastors, as is his other book, &quot;The Big Small Church Book.&quot; I will be rereading both regularly and referring to them often. I may have to reorder the &quot;Big Small Church Book&quot; as my copy is nearly worn out. If I had only two choices for resources for pastors of small churches, it would be these two.I hope the author considers focusing on Christian Education in another book. There is a section in the &quot;Big Small Church Book&quot; on Christian Education, but concentrating on one of the most important church functions individually makes a huge difference, as is proven by this new book. I tell all my colleagues that Rev. Ray's books are worth every dollar and more.","This resource includes twelve principles in understanding small church worship, fifteen practices for planning worship with fewer than 100 people, and suggestions for congregational study.",['David R. Ray'],,2000,['Religion'],2
4,0595344550,Whispers of the Wicked Saints,A3Q12RK71N74LB,07-Nov,1,1117065600,not good,"I bought this book because I read some glowing praise on an online library site. Unfortunately, I was deeply disappointed by page three. I always buy books in the hope and expectation of having an enjoyable read, not to criticise. However, this book is in urgent need of good editing -- though quite possibly editing alone wouldn't save it. Examples: a bed squeaks slightly and sharply in the same sentence; a nightgown hangs freely over her girlish figure and olive colored complexion; coffee aromas huddle; rumbling clouds huddle (as well as the coffee?); she prepared to sip her coffee beneath the wrath of God... cuddled within the arms of a strong breeze; (the wrath of God is a breeze?); the Columbian (stet) coffee aroma danced beneath her sculpted tan nose; the coffee bean fragrance tangoed within her body; she placed her thick pink lips against the warm cup;... and so on, all by page three. It is quite possible that the storyline is deeply moving. I'll never know because I can't bring myself to continue. Sorry.","Julia Thomas finds her life spinning out of control after the death of her husband, Richard. Julia turns to her minister for comfort when she finds herself falling for him with a passion that is forbidden by the church. Heath Sparks is a man of God who is busy taking care of his quadriplegic wife who was seriously injured in a sever car accident. In an innocent effort to reach out to a lonely member of his church, Heath finds himself as the man and not the minister as Heath and Julia surrender their bodies to each other and face the wrath of God. Julia finds herself in over her head as she faces a deadly disease, the loss of her home and whispers about her wicked affair. Julia leaves the states offering her body as a living sacrifice in hopes of finding a cure while her heart remains thousands of miles away hoping to one day reunite with the man who holds it hostage.Whispers of the Wicked Saints is a once in a lifetime romance that is breath taking, defying all the rules of romance and bending the laws of love.",['Veronica Haddon'],iUniverse,2005-02,['Fiction'],2
5,0253338352,"Nation Dance: Religion, Identity and Cultural Difference in the Caribbean",AN9WUW5BG7M39,01-Jan,5,1202083200,interplay of traditions across Caribbean,"from publisher:Addresses the interplay of diverse spiritual, religious, and cultural traditions across the Caribbean.Dealing with the ongoing interaction of rich and diverse cultural traditions from Cuba and Jamaica to Guyana and Surinam, Nation Dance addresses some of the major contemporary issues in the study of Caribbean religion and identity. The book's three sections move from a focus on spirituality and healing, to theology in social and political context, and on to questions of identity and diaspora.The book begins with the voices of female practitioners and then offers a broad, interdisciplinary examination of Caribbean religion and culture. Afro-Caribbean religions, Hinduism, Judaism, Islam, and Christianity are all addressed, with specific reflections on Santer&iacute;a, Palo Monte, Vodou, Winti, Obeah, Kali Mai, Orisha work, Spiritual Baptist faith, Spiritualism, Rastafari, Confucianism, Congregationalism, Pentecostalism, Catholicism, and liberation theology. Some essays are based on fieldwork, archival research, and textual or linguistic analysis, while others are concerned with methodological or theoretical issues. Contributors include practitioners and scholars, some very established in the field, others with fresh, new approaches; all of them come from the region or have done extensive fieldwork or research there. In these essays the poetic vitality of the practitioner's voice meets the attentive commitment of the postcolonial scholar in a dance of ""nations"" across the waters.",,['Edward Long'],,01-03-2003,,2
6,0802841899,The Church of Christ: A Biblical Ecclesiology for Today,ARI272XF8TOL4,74/81,5,955411200,Ecclesiological Milestone,"With the publication of Everett Ferguson's book on ecclesiology, another milestone has been reached in the scholarly presentation of the distinctive theological perspective of Churches of Christ. The book is divided into six chapters, each roughly sixty to seventy pages in length. Within each chapter, Ferguson neatly and systematically outlines his thoughts and arguments. The first chapter, entitled ""The People and the Messiah: History and Eschatology,"" deals mainly with background issues. It examines the Old Testament teaching on the importance of covenant and the meaning of the phrase ""kingdom of God"" in its relationship to an and distinction from the church. Ferguson enters into the New Testament and ecclesiology proper via a consideration of Jesus as Messiah, including a careful exegesis of Matt. 16:13-23, where he concludes that the ""rock"" of Matt. 16:18 is not Peter, but the fact of Jesus' Messiahship. Ferguson's analysis of Matt. 16:13-23 is insightful and carefully articulated. Within this section, he gives attention to ""the gates of Hades will not prevail"" and concludes with some interesting yet encouraging insight. In the second chapter, ""The Church and Her Lord: The Nature of the Church,"" Ferguson deals with and focuses on three images, ""people of God,"" ""body of Christ,"" and ""community of the Spirit."" A peculiar feature in this chapter is placing the discussion of the word ekklesia last rather than first. The latter would seem more appropriate and would seem to set the stage for the chapter, especially for a work of biblical ecclesiology. This great section will open the eyes of the reader and renew his focus of church. That is to say, this chapter correctly puts Christ as the head of the church and gives Him His appropriate place. The third chapter concentrates on, ""The Church and Her Savior: Salvation and Church Membership."" Essentially this section covers soteriology, which determines ecclesiology, but it is not ecclesiology itself. His full treatment of the nature of sin, the meaning of the cross, and the human response to God's saving work is only loosely linked to his topic of ecclesiology. This is not to say that this section is uninteresting or uninformative because it is quite helpful for a fuller understanding of these matters. Far more important is the content of Ferguson's soteriology. Ferguson is strong when it comes to the necessity of baptism. A few statements will give the reader an idea of his position: ""Baptism is the time at which one is incorporated into Christ and so becomes a child of God"" (pg. 170); ""Baptism is a `calling on the name' of the Lord"" (pg. 180); and, ""Baptism is the appointed time at which God pronounces forgiveness"" (pg. 183). He concludes: There must be an objective necessity about baptism, or New Testament writers could not speak of baptism in the way they do"" (pg. 185). How refreshing! In our world of relativity and ecumenism, people need to hear Ferguson's words, especially those in Churches of Christ. The last three chapters move into a more familiar territory for a treatise on the church. Chapter four, ""The Church and Her High Priest: Worship and Assembly"" is a great section for anyone interested in the dynamics of worship. Here, Ferguson begins with a type of etymology as a way of introduction, concentrating on both the Greek and English words. This introduction to the subject sets the stage for the entire chapter. Worship is a hot topic today, thus chapter four is rather applicable for our day with all the differing views. This section is multitudinously faceted and exhaustive. ""The Church and Her Bishop: The Continuing Ministry"" is appropriately the title for the fifth chapter. In this section, Ferguson again touches on some hot topics in the church. It is unfortunate however that he only briefly deals with the debates on miraculous gifts and women's roles. Ferguson advocates a cessasionist position on miraculous gifts and a complementarian position on women's roles, but leaves the reader thirsting for more information and a more comprehensive treatment of the issues. In a day where these two in particular issues are so widely discussed and debated, one would think that they might have received a little concentration. Again, this is not to eradicate what was accomplished in this chapter because it was insightful and obliging, especially given the fact that his discussion on deaconesses was amazingly insightful and well balanced. In chapter six Ferguson adequately covers, ""The Church and Her Teacher: The New Way of Life."" In this section, he includes an unusually prominent consideration of ethics and a very healthy discussion of the importance of Christian fellowship and its concomitant, church discipline. One last thing that must be mentioned about this chapter is Ferguson's section on unity. Although this section is brief, it is significant and insightful. Ferguson lays out the various aspects of unity and does so in just a few short pages. It serves as an excellent conclusion to a monumental work. Of course, any reader is free to take issue with some of Ferguson's conclusions. For example, the distinction that is made between the temporary and permanent endowments of the Spirit still awaits additional clarification, and there will be those who will score Ferguson, despite his disclaimer, for his synchronic rather than diachronic approach to the New Testament writings. This is a courageous book. Its Reformed-Restorationist slant that the proper doctrine of the church entails a return to the faith and practice of the apostolic church is unmistakable. There are numerous nuggets of exegesis and important points of emphases that make this book worth reading. It is astounding that Ferguson deals with so many facets of ecclesiology in a one-volume work. Not only that, but he also includes a helpful subject index as well as a number of bibliographies. Just a glance at his copious footnotes and it is clear that this book is well researched and well documented. This book should be one that every minister, church leader, and ministry student is required to read and ponder.","In The Church of Christ: A Biblical Ecclesiology for Today, respected biblical scholar Everett Ferguson presents a genuine biblical theology of the church. By systematically examining the New Testament's teaching on the existence, meaning, and purpose of the church, providing responsible coverage of the traditional topics in ecclesiology, and carefully grounding ecclesiology in the person and work of Christ, Ferguson unveils a comprehensive model of the church that is both biblically centered and relevant to a world on the verge of the twenty-first century.",['Everett Ferguson'],Wm. B. Eerdmans Publishing,1996,['Religion'],5
7,B0007FIF28,The Overbury affair (Avon),A2GERYVE64DIPL,0/0,3,1313366400,Overbury,Full of intrigue and a good overview of the court of James 1 and the key players. Provides a good general history of all the facts of the case.,,['Miriam Allen De Ford'],,1960,,2
8,B000JINSBG,A Walk in the Woods: a Play in Two Acts,A15A5KPP3AL76U,0/0,5,1361491200,meaty and fast,"This play was excellent. It's very smart, intellectually and morally meaty, and fast. I highly recommend it. Especially good material to ponder for people who in today's age can still think of the US or any country as being moral and right and good.",,['Lee Blessing'],,1988,,3
9,0895554224,Saint Hyacinth of Poland,A1IVIK8YJRIQWU,02-Feb,4,945648000,A miracle on every page!,"Who was Saint Hyacinth? The story starts with a chance meeting in Rome where he witnesses (the future) Saint Dominic raising a man from death. From that point the book is one miracle and amazing encounter on Hyacinth's journey across North Europe. He raised the dead, walks on water, fled the invading Tatars from a Cathedral carrying a 500 lb. Statue. All thoughout he dispenses his own brand of spiruatilty and humility. The book reads liks a combination of a self help book like the One minute Manager and the excitement of the Raiders of the Lost Arc. Kids will love this book to be read to them. They will never forget Saint Hyacinth. I know I never will.","The story for children 10 and up of St. Hyacinth, the Dominican who planted the Faith in Poland, Lithuania and Russia and worked many miracles. He went to Rome, where he met St. Dominic, and was one of the first to receive at his hands the habit of the newly established Order of Friars Preachers. After his novitiate he made his religious profession, and was made superior of the little band of missionaries sent to Poland to preach. Impr. 189 pgs 16 Illus, PB",['Mary Fabyan Windeatt'],Tan Books & Pub,01-01-2009,['Biography & Autobiography'],2
10,0963923080,Rising Sons and Daughters: Life Among Japan's New Young,A3NIQK6ZLYEP1L,0/0,4,1239667200,Almost a day by day view,"Steven Wardell went to Japan without reading any of the hundreds of books about Japan. He went without any idea of how Japan would treat him. So what he writes seems to come to us without much editing by any pre-made belief. No filters are between us and the experiences he had day to day. All the details about school, family life and learning the language comes to us without any forethought.Compared to other books on Japan this is raw, unmolded, information and is full of insight that I doubt even Wardell realized was amazing for such a young writer. I would say that this is a must for anybody planning on going to Japan for ANY reason.Did find some humor in the fact that Wardell felt the need to explain everything, even what a corn dog was, and that when he met other exchange students one complained about how the Japanese, and I quote, Couldn't even speak English good, end of quote. Couldn't even speak English GOOD? Neither can the exchange students it seems.All in all, you need to get it. Used, paperback, in hardcover, any version you can. Just get it.","Wardell recalls his experience as a foreign student in Japan, providing a comparison between America and Japan",['Steven Wardell'],Plympton PressIntl,1995,['Social Science'],2
